학년,번호,도서명,저자,카테고리,만화여부,태그,추천이유
1학년,1,구름빵,백희나,문학,,"상상력,가족",구름으로 빵을 만드는 상상력 넘치는 이야기. 따뜻한 가족 사랑이 담겨 있어요.
1학년,2,달 샤베트,백희나,문학,,"상상력,나눔",더운 여름밤 달이 녹아 샤베트가 되는 환상적인 이야기예요.
1학년,3,장수탕 선녀님,백희나,문학,,"상상력,가족",목욕탕에서 만난 할머니 선녀님과의 따뜻한 이야기예요.
1학년,4,돌멩이 수프,존 무스,문학,,"나눔,공동체",나그네와 마을 사람들이 돌멩이 수프를 함께 끓이며 나눔의 의미를 배우는 이야기예요.
1학년,5,강아지똥,권정생,문학,,"생명,자연",보잘것없는 것도 소중한 역할이 있다는 걸 알려주는 명작이에요.
1학년,6,수박 수영장,안녕달,문학,,"상상력,여름",거대한 수박이 수영장이 되는 기발한 상상이 담겨 있어요.
1학년,7,팥빙수의 전설,이지은,문학,,"유머,상상력",팥빙수를 둘러싼 재미있는 상상이 가득한 유쾌한 이야기예요.
1학년,8,배고픈 애벌레,에릭 칼,문학,,"성장,자연",알에서 나비까지 성장하는 과정을 아름다운 그림으로 보여줘요.
1학년,9,무지개 물고기,마르쿠스 피스터,문학,,"나눔,우정",반짝이는 비늘을 나누며 진정한 행복을 찾는 이야기예요.
1학년,10,돼지책,앤서니 브라운,문학,,"가족,역할",가족 안에서 서로의 역할과 존중을 생각하게 하는 책이에요.
1학년,11,고릴라,앤서니 브라운,문학,,"가족,상상력",아빠와의 관계를 고릴라 인형을 통해 따뜻하게 그린 작품이에요.
1학년,12,우리 엄마,앤서니 브라운,문학,,"가족,사랑",엄마의 다양한 모습을 사랑스럽고 유머러스하게 그렸어요.
1학년,13,우리 아빠,앤서니 브라운,문학,,"가족,사랑",아빠의 멋진 모습을 유쾌하게 표현한 그림책이에요.
1학년,14,치킨 마스크,우쓰기 미호,문학,,"자신감,성장",여러 가면을 써 보며 진짜 나의 모습과 소중함을 찾아가는 이야기예요.
1학년,15,지각대장 존,존 버닝햄,문학,,"상상력,학교",매일 신기한 이유로 지각하는 존의 엉뚱한 이야기예요.
1학년,16,검피 아저씨의 뱃놀이,존 버닝햄,문학,,"규칙,모험",규칙을 안 지키면 어떤 일이 벌어지는지 유머러스하게 보여줘요.
1학년,17,프레드릭,레오 리오니,문학,,"예술,개성",색깔과 단어를 모으는 쥐 프레드릭. 예술의 가치를 보여줘요.
1학년,18,으뜸 헤엄이,레오 리오니,문학,,"협동,용기",작은 물고기들이 힘을 합쳐 큰 물고기를 이기는 이야기예요.
1학년,19,괴물들이 사는 나라,모리스 센닥,문학,,"상상력,감정",맥스의 상상 속 괴물나라 모험! 칼데콧 수상작이에요.
1학년,20,종이 봉지 공주,로버트 먼치,문학,,"용기,반전",용을 물리치고 왕자를 구하는 공주의 통쾌한 반전이에요.
1학년,21,피터의 의자,에즈라 잭 키츠,문학,,"성장,가족",동생이 생긴 피터의 복잡한 마음을 섬세하게 그렸어요.
1학년,22,쏘피가 화나면 정말 정말 화나면,몰리 뱅,문학,,"감정,성장",화가 났을 때 어떻게 하면 좋은지 알려주는 책이에요.
